employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,absences,recruitment_source,salary,performance_rating,overtime,birthdate,termdate,termination_reason
00-36998038,Oni,Wijayanti,Female,Sumatera Utara,Tebing Tinggi,2022-02-05,Operations,Logistics Coordinator,Bachelor,0,Company Website,10824019,Needs Improvement,No,1971-07-23,2022-08-04,Performance Issues
00-97225156,Perkasa,Dongoran,Male,Jawa Barat,Bandung,2018-12-01,IT,Software Developer,Master,0,Other,17288661,Good,No,1983-04-24,2023-11-16,Other
00-26240908,Carla,Lestari,Female,Jakarta,Jakarta Timur,2017-09-01,Customer Service,Customer Service Representative,High School,0,Indeed,5399146,Satisfactory,No,2000-05-23,2018-02-28,Resignation
00-12823170,Endah,Utami,Female,Jawa Barat,Bekasi,2020-08-19,Operations,Logistics Coordinator,Bachelor,13,LinkedIn,12456340,Excellent,No,1970-07-22,2024-12-14,Layoff
00-39557077,Atma,Nababan,Male,Jawa Barat,Bekasi,2015-05-29,IT,Software Developer,Master,3,LinkedIn,19998055,Needs Improvement,No,1966-07-11,2023-12-18,Other
00-17901903,Lembah,Pradipta,Male,Sumatera Utara,Binjai,2017-07-25,Operations,Inventory Specialist,Bachelor,0,Other,9688212,Good,No,1995-07-08,2021-12-29,Layoff
00-54349361,Dwi,Saefullah,Male,Jawa Barat,Bandung,2016-11-30,Operations,Logistics Coordinator,Bachelor,11,Jobstreet,16222873,Needs Improvement,No,1991-04-06,2017-10-15,Performance Issues
00-99788677,Ajeng,Halimah,Female,Sumatera Utara,Binjai,2019-09-22,Operations,Logistics Coordinator,Bachelor,0,Company Website,16139500,Good,Yes,1968-06-18,2020-03-20,Other
00-86644106,Paulin,Pudjiastuti,Female,Jawa Barat,Bekasi,2020-10-25,Operations,Logistics Coordinator,Bachelor,0,Job Fair,10285333,Good,Yes,1962-05-27,2022-09-02,Layoff
00-73481353,Syahrini,Padmasari,Female,Bali,Kuta,2023-02-13,Customer Service,Support Specialist,Bachelor,0,LinkedIn,6440775,Good,Yes,1995-07-09,2023-08-12,Layoff
00-23009833,Emil,Pratama,Male,Jawa Barat,Bogor,2022-03-03,Customer Service,Help Desk Technician,Bachelor,5,Jobstreet,4821429,Good,No,1996-08-09,2022-08-30,Layoff
00-65177213,Mutia,Agustina,Female,Sumatera Utara,Medan,2019-10-08,Operations,Inventory Specialist,High School,0,Company Website,8890705,Good,Yes,1981-10-30,2022-12-12,Layoff
00-97705310,Taufik,Tarihoran,Male,Jawa Barat,Bogor,2024-04-12,Sales,Sales Representative,Bachelor,0,LinkedIn,15606476,Needs Improvement,No,1998-03-22,2024-10-09,Resignation
00-64038913,Jais,Wibowo,Male,Jawa Barat,Bandung,2022-03-11,Customer Service,Support Specialist,High School,14,LinkedIn,5071047,Good,No,1974-03-17,2022-09-07,Other
00-35714784,Jono,Habibi,Male,Jawa Barat,Bekasi,2017-12-05,IT,Software Developer,Bachelor,0,Other,33319740,Satisfactory,No,1980-09-11,2018-06-03,Layoff
00-66623995,Luis,Maryadi,Male,Jawa Barat,Bogor,2017-11-23,Sales,Sales Consultant,PhD,0,LinkedIn,26994914,Good,No,1981-07-25,2021-05-16,Other
00-20117988,Manah,Ramadan,Male,Jawa Barat,Bogor,2019-08-25,Operations,Logistics Coordinator,Bachelor,0,Job Fair,6144323,Good,No,1988-02-29,2020-02-21,Other
00-16789850,Faizah,Lestari,Female,Jawa Barat,Bekasi,2022-05-26,IT,IT Support Specialist,Bachelor,0,Other,7578624,Good,No,1988-07-20,2022-11-22,Health Reasons
00-11980765,Prabowo,Hutapea,Male,Jawa Barat,Bandung,2024-07-28,Sales,Sales Representative,Bachelor,0,LinkedIn,11144509,Satisfactory,No,1969-12-17,2025-01-24,Layoff
00-64547971,Victoria,Wastuti,Female,Jawa Barat,Bogor,2019-12-23,Sales,Sales Consultant,Master,0,Other,24540709,Good,Yes,1986-12-31,2021-03-05,Layoff
00-63826716,Ade,Permata,Female,Jawa Barat,Bandung,2023-07-09,Sales,Sales Representative,Bachelor,0,Jobstreet,14131980,Excellent,No,2002-06-13,2024-01-05,Resignation
00-10289289,Ajiman,Hakim,Male,Jawa Barat,Bogor,2024-12-26,Customer Service,Support Specialist,Bachelor,0,Jobstreet,6137476,Good,No,2000-01-19,2025-06-24,Resignation
00-71070189,Gilang,Waskita,Male,Banten,Tangerang,2017-04-30,Sales,Sales Specialist,Bachelor,0,Company Website,22756481,Satisfactory,No,1979-06-05,2023-08-27,Other
00-84593961,Digdaya,Dabukke,Male,Jawa Barat,Bandung,2022-04-04,IT,IT Support Specialist,Bachelor,0,LinkedIn,9104843,Good,Yes,1985-06-04,2022-10-01,Health Reasons
00-35487660,Tomi,Suryono,Male,Jawa Barat,Bekasi,2017-01-31,Sales,Sales Specialist,PhD,0,Jobstreet,13248638,Excellent,No,1995-06-18,2018-05-06,Health Reasons
00-82772208,Chelsea,Wahyuni,Female,Jawa Barat,Bandung,2016-11-12,Operations,Logistics Coordinator,Bachelor,0,Other,6300402,Satisfactory,No,1992-07-12,2017-05-11,Other
00-16729990,Betania,Zulaika,Female,Sumatera Utara,Tebing Tinggi,2020-10-24,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,10705785,Good,Yes,1975-12-01,2024-07-30,Other
00-81286543,Dian,Kuswandari,Female,Jawa Barat,Bandung,2017-09-14,Operations,Operations Analyst,Bachelor,0,LinkedIn,20479691,Excellent,No,1970-04-06,2018-03-13,Health Reasons
00-34941004,Jaswadi,Saefullah,Male,Jawa Barat,Bogor,2016-03-05,Sales,Sales Consultant,Master,0,Company Website,27168472,Good,No,1988-12-02,2016-09-01,Other
00-41568532,Eman,Saptono,Male,Sulawesi Selatan,Makassar,2019-12-05,Sales,Sales Consultant,Master,0,Jobstreet,26037281,Good,No,1973-10-09,2020-06-02,Health Reasons
00-87701200,Rachel,Utami,Female,Bali,Ubud,2020-03-23,IT,IT Support Specialist,Bachelor,0,LinkedIn,6863614,Good,No,1982-12-11,2020-09-19,Other
00-66267415,Puput,Mulyani,Female,Jawa Barat,Bekasi,2022-10-04,Operations,Logistics Coordinator,Bachelor,0,Job Fair,11124486,Good,No,1990-08-30,2024-11-06,Layoff
00-52462441,Galang,Pangestu,Male,Sumatera Utara,Binjai,2024-09-17,IT,Software Developer,Bachelor,0,LinkedIn,34162944,Good,No,2003-08-17,2025-03-16,Resignation
00-52169044,Martaka,Nashiruddin,Male,Jawa Barat,Bekasi,2017-06-20,IT,Software Developer,Master,0,Job Fair,29735251,Satisfactory,Yes,1976-04-30,2021-03-06,Health Reasons
00-96637649,Uda,Rajata,Male,Jawa Barat,Bekasi,2017-06-25,Finance,Accountant,Bachelor,0,Job Fair,21470095,Excellent,No,1999-04-25,2024-02-06,Resignation
00-19736572,Banawa,Maheswara,Male,Jawa Barat,Bogor,2015-03-29,Sales,Sales Specialist,Bachelor,13,LinkedIn,13620391,Needs Improvement,Yes,1967-02-22,2017-09-29,Performance Issues
00-23419256,Atma,Narpati,Male,Jawa Barat,Bandung,2016-01-09,Sales,Sales Specialist,Master,0,Company Website,14120867,Excellent,No,2000-06-20,2016-07-07,Resignation
00-45594597,Lanjar,Saefullah,Male,Jawa Barat,Bandung,2017-03-31,Operations,Inventory Specialist,Bachelor,13,Jobstreet,9713886,Good,Yes,1967-12-02,2020-03-10,Health Reasons
00-42787299,Rini,Novitasari,Female,Jawa Barat,Bandung,2018-01-03,IT,System Administrator,Master,0,Jobstreet,19279788,Satisfactory,No,1995-08-12,2020-03-12,Layoff
00-82909480,Bagus,Thamrin,Male,Jakarta,Jakarta Timur,2022-09-03,Customer Service,Help Desk Technician,High School,0,Indeed,5219085,Excellent,No,1987-10-26,2023-03-02,Other
00-97775215,Asmuni,Latupono,Male,Jawa Barat,Bandung,2020-01-27,Customer Service,Help Desk Technician,High School,0,LinkedIn,5632268,Satisfactory,Yes,2004-09-10,2022-07-30,Resignation
00-84437458,Utama,Budiyanto,Male,Jawa Tengah,Solo,2017-11-30,Customer Service,Help Desk Technician,Bachelor,7,Job Fair,5870083,Good,No,1985-03-31,2023-04-20,Layoff
00-28024248,Julia,Hartati,Female,Jawa Tengah,Solo,2017-07-19,IT,Software Developer,Master,8,Other,30602231,Good,No,1977-02-12,2021-02-11,Layoff
00-84252420,Gilda,Puspasari,Female,Sulawesi Selatan,Makassar,2017-09-17,Sales,Sales Consultant,Bachelor,10,LinkedIn,18192303,Satisfactory,No,1979-07-02,2022-09-27,Layoff
00-38270233,Nova,Nurdiyanti,Female,Jawa Barat,Bekasi,2022-07-29,IT,Software Developer,Bachelor,0,LinkedIn,23927782,Good,No,1977-10-02,2023-01-25,Other
00-95125977,Diah,Yulianti,Female,Jawa Barat,Bandung,2023-04-05,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,6942656,Good,No,1976-06-08,2023-10-02,Other
00-43704923,Purwanto,Prakasa,Male,Jawa Barat,Bandung,2023-11-10,Sales,Sales Representative,Bachelor,0,Indeed,12649349,Satisfactory,No,1991-04-26,2024-05-08,Layoff
00-95132217,Laila,Melani,Female,Jawa Barat,Bogor,2019-02-06,IT,Software Developer,Bachelor,0,Jobstreet,19887625,Good,Yes,1969-10-21,2024-09-03,Layoff
00-10475894,Bakti,Sitompul,Male,Jawa Barat,Bogor,2018-06-17,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,7471110,Good,No,1980-08-04,2019-07-16,Layoff
00-45159040,Kamila,Utami,Female,Jawa Barat,Bekasi,2017-06-09,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,8778788,Good,No,1996-08-21,2021-02-02,Layoff
00-67403166,Jarwa,Utama,Male,Jawa Barat,Bandung,2020-01-22,Customer Service,Support Specialist,Bachelor,0,Other,5991173,Good,Yes,1976-10-24,2020-11-22,Health Reasons
00-30005727,Muni,Simbolon,Male,Jawa Barat,Bekasi,2020-09-07,IT,Software Developer,Master,0,Job Fair,18385773,Good,No,1986-05-21,2021-03-06,Health Reasons
00-84158663,Cinthia,Handayani,Female,Jawa Barat,Bekasi,2017-06-06,HR,Recruiter,Bachelor,0,Jobstreet,11586507,Good,No,1983-07-29,2017-12-03,Health Reasons
00-51373735,Ozy,Narpati,Male,Jawa Barat,Bekasi,2018-11-07,Sales,Sales Consultant,PhD,0,LinkedIn,21344939,Satisfactory,Yes,1984-02-25,2021-04-25,Layoff
00-38195995,Zelda,Hastuti,Female,Jawa Barat,Bandung,2022-04-07,Operations,Inventory Specialist,Bachelor,13,Other,5159228,Good,Yes,1972-01-01,2022-10-04,Other
00-57469942,Dadi,Kuswoyo,Male,Sumatera Utara,Tebing Tinggi,2023-07-28,Customer Service,Customer Service Representative,Bachelor,9,Company Website,8795420,Satisfactory,No,1962-08-15,2024-01-24,Layoff
00-30743797,Ikin,Hidayat,Male,Jawa Barat,Bogor,2024-06-12,Sales,Sales Representative,Bachelor,0,Other,12594155,Good,No,1995-10-14,2024-12-09,Layoff
00-31810617,Elvina,Puspasari,Female,Jawa Barat,Bekasi,2024-06-28,Operations,Logistics Coordinator,Bachelor,0,Other,8467642,Satisfactory,No,1985-01-05,2024-12-25,Health Reasons
00-13326769,Drajat,Firgantoro,Male,Jawa Barat,Bogor,2017-06-22,Operations,Inventory Specialist,High School,18,Jobstreet,9299117,Good,No,1962-02-02,2017-12-19,Misconduct
00-65259205,Yani,Hariyah,Female,Jawa Barat,Bekasi,2023-01-20,Sales,Sales Representative,Bachelor,0,Job Fair,4486704,Satisfactory,No,1977-07-02,2023-07-19,Other
00-43308443,Sadina,Andriani,Female,Jawa Barat,Bekasi,2017-02-06,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,8684028,Good,Yes,1991-06-01,2024-12-19,Layoff
00-61343880,Umi,Nasyidah,Female,Jawa Barat,Bogor,2023-03-06,IT,Software Developer,Bachelor,0,Jobstreet,18717056,Satisfactory,No,1980-12-12,2023-09-02,Layoff
00-36786211,Hasim,Prasasta,Male,Bali,Ubud,2023-07-06,IT,System Administrator,Bachelor,0,LinkedIn,20909644,Good,No,1989-10-10,2024-01-02,Layoff
00-50962024,Dariati,Pangestu,Male,Jakarta,Jakarta Barat,2023-12-17,Operations,Inventory Specialist,High School,0,Job Fair,4608575,Good,No,1990-02-25,2024-06-14,Layoff
00-13176186,Almira,Mandasari,Female,Jawa Barat,Bogor,2022-05-28,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,10234748,Good,No,1992-05-21,2022-11-24,Layoff
00-47393469,Ade,Nababan,Male,Jawa Barat,Bekasi,2023-04-13,Sales,Sales Specialist,Master,0,Company Website,15839687,Satisfactory,No,1985-08-01,2023-10-10,Health Reasons
00-96098221,Violet,Yuniar,Female,Jawa Barat,Bogor,2020-04-20,Operations,Inventory Specialist,Bachelor,0,Company Website,8286373,Satisfactory,No,1984-12-26,2020-10-17,Layoff
00-81969657,Indra,Tampubolon,Male,Jawa Barat,Bogor,2018-10-11,Operations,Operations Analyst,Bachelor,5,Indeed,16517427,Excellent,Yes,1972-02-01,2022-04-07,Other
00-45059710,Violet,Wahyuni,Female,Jawa Barat,Bandung,2017-03-02,Operations,Operations Manager,Bachelor,0,LinkedIn,21990305,Good,No,1976-07-03,2019-06-12,Layoff
00-24549543,Dadap,Maulana,Male,Jawa Barat,Bekasi,2020-03-25,Sales,Sales Representative,Bachelor,0,Indeed,16205265,Excellent,No,1980-04-26,2020-09-21,Layoff
00-52101056,Asmianto,Siregar,Male,Jawa Barat,Bekasi,2019-10-13,Sales,Sales Specialist,Bachelor,0,Other,19615552,Excellent,Yes,1985-04-11,2020-04-10,Health Reasons
00-61700055,Puput,Handayani,Female,Jawa Barat,Bandung,2023-10-18,Customer Service,Support Specialist,High School,0,Other,7377179,Good,No,1997-08-16,2024-04-15,Resignation
00-15957459,Iriana,Handayani,Female,Jawa Barat,Bekasi,2022-01-20,Customer Service,Support Specialist,Bachelor,0,Jobstreet,4777377,Satisfactory,No,1982-11-23,2022-07-19,Layoff
00-82269803,Lanang,Permadi,Male,Jawa Tengah,Solo,2022-07-15,Sales,Sales Representative,Bachelor,0,LinkedIn,15429109,Satisfactory,No,1997-01-09,2023-01-11,Resignation
00-36445607,Vega,Saptono,Male,Bali,Kuta,2018-03-03,Marketing,Content Creator,High School,0,Other,12406617,Good,No,1996-05-27,2021-08-25,Layoff
00-54318698,Asmianto,Rajasa,Male,Jawa Tengah,Solo,2021-02-01,Sales,Sales Representative,Bachelor,0,Company Website,10853864,Good,No,2004-09-09,2021-08-11,Resignation
00-26726926,Zizi,Mayasari,Female,Jawa Barat,Bogor,2022-01-27,Customer Service,Help Desk Technician,High School,0,Other,5097405,Satisfactory,No,1962-12-26,2022-07-26,Layoff
00-51511484,Rina,Hassanah,Female,Jawa Barat,Bekasi,2022-09-20,HR,HR Coordinator,Master,0,Jobstreet,11597991,Good,No,1966-02-03,2023-03-19,Layoff
00-49682169,Zelda,Nasyidah,Female,Jakarta,Jakarta Pusat,2020-06-05,Operations,Operations Manager,Bachelor,0,LinkedIn,28691205,Good,No,1963-08-23,2020-12-02,Other
00-99245317,Devi,Nasyiah,Female,Sumatera Utara,Binjai,2024-08-12,IT,IT Support Specialist,Bachelor,0,Indeed,6357630,Satisfactory,Yes,1979-12-26,2025-02-08,Layoff
00-33357554,Legawa,Damanik,Male,Jawa Barat,Bandung,2021-08-29,Sales,Sales Consultant,Master,0,Other,17475131,Excellent,No,2001-09-05,2022-02-25,Resignation
00-83542887,Cindy,Oktaviani,Female,Jawa Barat,Bandung,2023-09-13,IT,IT Support Specialist,Bachelor,10,Indeed,5808942,Good,Yes,1970-01-24,2024-03-11,Health Reasons
00-38210242,Restu,Wulandari,Female,Jawa Barat,Bekasi,2019-05-03,Operations,Logistics Coordinator,Bachelor,0,Indeed,12315176,Satisfactory,Yes,1976-10-02,2019-10-30,Other
00-97873101,Warji,Mustofa,Male,Sumatera Utara,Medan,2018-03-21,Sales,Sales Representative,Bachelor,0,Job Fair,14597264,Good,No,1971-10-11,2022-02-04,Layoff
00-38682516,Mulyono,Tamba,Male,Jawa Barat,Bogor,2020-05-02,Operations,Operations Analyst,Bachelor,0,Job Fair,19573704,Satisfactory,No,1979-08-27,2020-10-29,Layoff
00-98429450,Digdaya,Mustofa,Male,Jawa Barat,Bogor,2016-06-02,Customer Service,Customer Service Representative,Bachelor,0,Jobstreet,7334873,Needs Improvement,No,2001-09-20,2021-10-20,Resignation
00-94951883,Cahyadi,Sitorus,Male,Jawa Barat,Bekasi,2021-09-08,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,16254002,Good,No,1976-08-28,2022-04-27,Other
00-41523529,Eja,Pradana,Male,Jawa Barat,Bandung,2022-05-03,Sales,Sales Consultant,PhD,0,Company Website,26404842,Satisfactory,No,1977-06-26,2022-10-30,Layoff
00-36726767,Wisnu,Waluyo,Male,Jawa Barat,Bandung,2017-12-30,Marketing,Marketing Coordinator,Bachelor,7,Indeed,7366278,Needs Improvement,Yes,1974-07-30,2024-04-01,Performance Issues
00-73771720,Bagya,Ardianto,Male,Sumatera Utara,Binjai,2021-06-27,Customer Service,Support Specialist,High School,0,LinkedIn,5727232,Good,Yes,1970-06-01,2021-12-24,Other
00-65625330,Luthfi,Suryono,Male,Jawa Barat,Bekasi,2023-02-08,IT,System Administrator,Master,5,Company Website,16615235,Good,No,1975-07-12,2023-08-07,Other
00-61536717,Belinda,Zulaika,Female,Sumatera Utara,Binjai,2020-03-23,Sales,Sales Representative,Bachelor,13,Other,12460244,Good,No,1978-11-07,2020-09-19,Layoff
00-98054615,Ophelia,Palastri,Female,Jawa Barat,Bekasi,2022-02-21,IT,Software Developer,Master,0,Job Fair,20402686,Good,No,1979-04-15,2022-08-20,Layoff
00-67062156,Wardi,Natsir,Male,Jawa Barat,Bandung,2017-12-09,Sales,Sales Representative,Bachelor,0,Job Fair,15808691,Needs Improvement,No,1990-10-24,2021-11-22,Performance Issues
00-72350830,Bagiya,Maheswara,Male,Jawa Barat,Bogor,2016-05-23,Finance,Accountant,Bachelor,0,Other,20307675,Good,No,1976-07-01,2018-07-25,Layoff
