employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,absences,recruitment_source,salary,performance_rating,overtime,birthdate,termdate,termination_reason,long_time_hire,month_hire,month_term
00-84158663,Legawa,Damanik,Male,Jawa Timur,Madiun,2017-08-14,Operations,Inventory Specialist,High School,18,Jobstreet,7821289,Good,No,1997-05-19,2024-07-24,Resignation,7.0,8,7.0
00-30743797,Diah,Pratiwi,Female,DKI Jakarta,Jakarta Pusat,2024-06-15,HR,Recruiter,Bachelor,9,Job Fair,19146002,Good,No,1977-05-19,2024-12-12,Layoff,0.0,6,12.0
00-31810617,Umi,Hartati,Female,Jawa Timur,Surabaya,2024-01-04,Operations,Logistics Coordinator,Bachelor,0,Other,14565494,Satisfactory,No,1987-09-20,2024-07-02,Health Reasons,0.0,1,7.0
00-36786211,Maida,Pratiwi,Female,Sumatera Utara,Tebing Tinggi,2023-08-11,IT,System Administrator,Master,6,Jobstreet,21403088,Good,No,1984-09-02,2024-02-07,Other,1.0,8,2.0
00-50962024,Respati,Simbolon,Male,Bali,Kuta,2023-07-12,Sales,Sales Manager,Master,0,Indeed,23928206,Excellent,No,1992-06-22,2024-01-08,Layoff,1.0,7,1.0
00-47393469,Salimah,Hastuti,Female,Sumatera Utara,Tebing Tinggi,2023-12-08,Finance,Accounts Payable Specialist,Bachelor,0,Jobstreet,11593922,Good,No,1993-11-10,2024-06-05,Health Reasons,1.0,12,6.0
00-99245317,Dalima,Usamah,Female,Jawa Tengah,Surakarta,2024-02-16,Sales,Sales Representative,Bachelor,13,Jobstreet,6475043,Satisfactory,No,1975-01-18,2024-08-14,Other,0.0,2,8.0
00-83542887,Raden,Damanik,Male,Kalimantan Timur,Samarinda,2023-11-24,IT,Software Developer,Bachelor,0,LinkedIn,19610344,Satisfactory,Yes,2002-12-13,2024-05-22,Resignation,1.0,11,5.0
00-73771720,Zelaya,Nasyiah,Female,Jawa Timur,Blitar,2021-04-08,Marketing,Marketing Coordinator,Bachelor,0,Other,6724337,Good,No,1961-07-21,2024-08-06,Layoff,3.0,4,8.0
00-81287314,Estiawan,Firmansyah,Male,Jawa Timur,Blitar,2023-12-19,IT,System Administrator,Master,0,Indeed,14007921,Excellent,No,1987-01-30,2024-06-16,Layoff,1.0,12,6.0
00-18357162,Yani,Zulaika,Female,Jawa Timur,Madura,2017-09-08,Operations,Logistics Coordinator,Bachelor,12,Job Fair,4993237,Satisfactory,No,2003-04-01,2024-09-12,Resignation,7.0,9,9.0
00-88393811,Ulya,Mulyani,Female,Jawa Timur,Malang,2024-05-12,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5881139,Satisfactory,No,1983-04-01,2024-11-08,Other,0.0,5,11.0
00-83300637,Bancar,Tarihoran,Male,Bali,Denpasar,2023-11-24,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,10680813,Good,Yes,1986-05-08,2024-05-22,Layoff,1.0,11,5.0
00-71028710,Mala,Permata,Female,Jawa Timur,Surabaya,2018-06-19,Sales,Sales Consultant,Master,0,Job Fair,22280426,Good,Yes,1974-11-12,2024-02-23,Health Reasons,6.0,6,2.0
00-14164775,Mujur,Simanjuntak,Male,Banten,Serang,2023-08-15,Operations,Operations Analyst,Bachelor,0,Indeed,16697572,Good,No,2004-05-18,2024-02-11,Resignation,1.0,8,2.0
00-73560289,Darmanto,Waskita,Male,Jawa Barat,Depok,2022-03-14,Customer Service,Customer Service Representative,High School,0,Indeed,4408614,Needs Improvement,Yes,1987-02-04,2024-01-20,Other,2.0,3,1.0
00-25372341,Siti,Melani,Female,Lampung,Bandar Lampung,2023-09-19,Operations,Inventory Specialist,High School,11,Company Website,5340182,Needs Improvement,No,1971-09-01,2024-03-17,Performance Issues,1.0,9,3.0
00-60372847,Dalima,Agustina,Female,Bali,Ubud,2019-11-21,Customer Service,Customer Service Representative,High School,0,Indeed,5690175,Satisfactory,No,1977-04-03,2024-10-13,Other,5.0,11,10.0
00-11698142,Malika,Wastuti,Female,Jawa Timur,Surabaya,2023-12-26,Finance,Financial Analyst,Master,0,LinkedIn,22427064,Satisfactory,No,1990-10-09,2024-06-23,Layoff,1.0,12,6.0
00-68186525,Legawa,Manullang,Male,Bali,Denpasar,2023-12-13,Marketing,Content Creator,High School,13,Indeed,8732137,Good,No,1976-01-26,2024-06-10,Other,1.0,12,6.0
00-80027662,Najib,Ramadan,Male,Jawa Timur,Madiun,2024-06-04,Customer Service,Customer Service Representative,High School,11,Jobstreet,7605361,Excellent,No,1990-10-20,2024-12-01,Other,0.0,6,12.0
00-34850391,Unjani,Novitasari,Female,DKI Jakarta,Jakarta Timur,2017-06-27,Finance,Financial Analyst,PhD,0,Jobstreet,24573005,Needs Improvement,Yes,1981-05-15,2024-06-02,Performance Issues,7.0,6,6.0
00-47983442,Harsaya,Narpati,Male,DKI Jakarta,Jakarta Timur,2023-09-02,Marketing,Content Creator,Bachelor,0,Jobstreet,12659467,Good,No,1982-08-18,2024-02-29,Layoff,1.0,9,2.0
00-48163378,Maria,Laksmiwati,Female,Jawa Barat,Bogor,2019-11-12,HR,HR Assistant,Bachelor,0,LinkedIn,8326715,Good,No,1964-03-23,2024-03-31,Other,5.0,11,3.0
00-34744872,Elvina,Farida,Female,Jawa Timur,Madiun,2024-04-04,Operations,Operations Analyst,Master,0,Company Website,19296597,Good,No,1999-12-09,2024-10-01,Resignation,0.0,4,10.0
00-17195288,Yance,Oktaviani,Female,Jawa Timur,Madura,2017-04-02,Operations,Logistics Coordinator,Bachelor,6,Job Fair,7563827,Good,No,1967-02-06,2024-10-20,Layoff,7.0,4,10.0
00-21432787,Cindy,Yulianti,Female,Jawa Tengah,Surakarta,2024-01-08,IT,IT Support Specialist,Bachelor,0,LinkedIn,7275948,Satisfactory,Yes,2002-02-13,2024-07-06,Resignation,0.0,1,7.0
00-80138498,Gara,Kusumo,Male,DKI Jakarta,Jakarta Barat,2018-08-25,Operations,Operations Manager,Bachelor,0,LinkedIn,33286108,Good,No,1976-12-30,2024-05-25,Other,6.0,8,5.0
00-88990506,Victoria,Fujiati,Female,Bali,Denpasar,2023-10-03,Operations,Logistics Coordinator,Bachelor,0,Job Fair,11321527,Good,No,1988-02-09,2024-03-31,Health Reasons,1.0,10,3.0
00-93352876,Wasis,Maheswara,Male,Jawa Timur,Madiun,2016-03-13,Operations,Inventory Specialist,Bachelor,0,Company Website,5907439,Good,No,1986-01-20,2024-02-12,Health Reasons,8.0,3,2.0
00-70939053,Carub,Mangunsong,Male,Bali,Ubud,2016-02-09,Customer Service,Support Specialist,High School,19,LinkedIn,4913605,Excellent,No,1984-03-16,2024-08-05,Misconduct,8.0,2,8.0
00-45652586,Dalimin,Firgantoro,Male,Banten,Tangerang,2023-08-04,Marketing,Content Creator,Bachelor,9,Other,10242129,Good,No,1970-11-01,2024-01-31,Health Reasons,1.0,8,1.0
00-86397676,Mursinin,Winarno,Male,Jawa Tengah,Semarang,2024-04-20,Customer Service,Help Desk Technician,High School,17,LinkedIn,6457605,Needs Improvement,Yes,1978-12-04,2024-10-17,Performance Issues,0.0,4,10.0
00-40725714,Imam,Zulkarnain,Male,Sulawesi Selatan,Pare-Pare,2024-06-27,IT,System Administrator,Bachelor,0,LinkedIn,20635927,Good,No,1992-05-29,2024-12-24,Layoff,0.0,6,12.0
00-12784407,Ian,Najmudin,Male,Sulawesi Selatan,Gowa,2023-08-20,Operations,Inventory Specialist,High School,0,Job Fair,4609384,Good,No,1986-09-06,2024-02-16,Layoff,1.0,8,2.0
00-25558733,Qori,Suartini,Female,Jawa Timur,Madura,2024-05-02,Customer Service,Support Specialist,Bachelor,0,Jobstreet,4578037,Satisfactory,No,2004-12-02,2024-10-29,Resignation,0.0,5,10.0
00-69329732,Tira,Puspasari,Female,Jawa Tengah,Surakarta,2022-07-22,Customer Service,Help Desk Technician,High School,0,Other,4820866,Satisfactory,No,1995-02-19,2024-07-16,Layoff,2.0,7,7.0
00-74759996,Jasmani,Saefullah,Male,DKI Jakarta,Jakarta Timur,2023-07-13,Operations,Operations Analyst,Bachelor,0,Job Fair,18138324,Satisfactory,No,1980-02-09,2024-01-09,Layoff,1.0,7,1.0
00-50071487,Paiman,Santoso,Male,Sumatera Utara,Binjai,2023-12-13,Customer Service,Support Specialist,High School,0,LinkedIn,5853317,Good,Yes,1973-10-03,2024-06-10,Layoff,1.0,12,6.0
00-35320492,Baktianto,Kuswoyo,Male,Jawa Timur,Surabaya,2024-04-18,Sales,Sales Representative,Bachelor,0,Job Fair,17448748,Needs Improvement,No,1974-11-26,2024-10-15,Performance Issues,0.0,4,10.0
00-61167978,Aurora,Farida,Female,Jawa Barat,Depok,2018-07-21,Marketing,Content Creator,Bachelor,0,Jobstreet,9391297,Good,No,1976-09-09,2024-11-22,Other,6.0,7,11.0
00-97512508,Nalar,Haryanto,Male,Jawa Barat,Purwakarta,2023-08-21,IT,IT Support Specialist,Bachelor,0,LinkedIn,6550648,Good,No,1982-06-06,2024-02-17,Layoff,1.0,8,2.0
00-23470708,Adinata,Suwarno,Male,Bali,Ubud,2023-04-14,Marketing,SEO Specialist,Bachelor,0,LinkedIn,17280647,Satisfactory,No,1981-06-16,2024-01-15,Layoff,1.0,4,1.0
00-80591959,Natalia,Usada,Female,Jawa Timur,Malang,2024-05-04,Sales,Sales Specialist,PhD,0,LinkedIn,23141457,Satisfactory,Yes,1967-02-15,2024-10-31,Layoff,0.0,5,10.0
00-20043277,Jati,Hakim,Male,Kalimantan Timur,Samarinda,2019-10-27,Sales,Sales Consultant,Master,0,Job Fair,19544652,Good,No,1986-03-19,2024-11-20,Other,5.0,10,11.0
00-53536830,Okta,Hardiansyah,Male,Jawa Barat,Depok,2023-12-11,Sales,Sales Specialist,Bachelor,0,Job Fair,23117193,Satisfactory,No,1986-11-10,2024-06-08,Health Reasons,1.0,12,6.0
00-65304649,Bajragin,Hutapea,Male,DKI Jakarta,Jakarta Barat,2020-03-28,Customer Service,Support Specialist,Bachelor,0,LinkedIn,8110849,Satisfactory,No,1983-10-24,2024-04-06,Health Reasons,4.0,3,4.0
00-88862539,Daruna,Mustofa,Male,Bali,Kuta,2017-10-14,Customer Service,Help Desk Technician,High School,0,LinkedIn,5280123,Good,No,1972-04-18,2024-11-03,Layoff,7.0,10,11.0
00-16582607,Yunita,Puspita,Female,Banten,Tangerang,2024-06-09,Sales,Sales Consultant,Master,0,Jobstreet,26499663,Good,Yes,1970-03-07,2024-12-06,Health Reasons,0.0,6,12.0
00-98473848,Arta,Pratama,Male,DKI Jakarta,Jakarta Pusat,2022-09-25,Operations,Inventory Specialist,High School,0,LinkedIn,7093316,Good,No,1961-12-01,2024-05-03,Layoff,2.0,9,5.0
00-51464269,Dartono,Sirait,Male,Yogyakarta,Sleman,2023-11-01,IT,IT Support Specialist,High School,0,Indeed,8269865,Good,Yes,1984-06-25,2024-04-29,Other,1.0,11,4.0
00-27738187,Prabowo,Waluyo,Male,Jawa Timur,Madiun,2023-03-05,Finance,Accountant,Bachelor,0,LinkedIn,11856416,Satisfactory,No,1979-08-22,2024-03-06,Layoff,1.0,3,3.0
00-77349752,Padma,Usada,Female,Jawa Timur,Madiun,2023-12-01,Operations,Inventory Specialist,High School,14,Other,7926185,Good,Yes,1971-12-08,2024-05-29,Layoff,1.0,12,5.0
00-74672520,Elvina,Usamah,Female,Sulawesi Selatan,Makassar,2023-08-20,Customer Service,Support Specialist,High School,20,Jobstreet,4355459,Satisfactory,No,1997-02-06,2024-02-16,Resignation,1.0,8,2.0
00-63339667,Bala,Hutapea,Male,DKI Jakarta,Jakarta Timur,2024-04-30,Marketing,Content Creator,High School,0,Other,11346199,Good,No,1984-09-09,2024-10-27,Health Reasons,0.0,4,10.0
00-82017516,Lalita,Astuti,Female,Jawa Timur,Blitar,2016-06-15,Operations,Operations Analyst,Bachelor,0,LinkedIn,20893964,Excellent,No,1977-02-25,2024-10-28,Health Reasons,8.0,6,10.0
00-45186708,Iriana,Namaga,Female,Jawa Barat,Purwakarta,2020-04-27,Operations,Inventory Specialist,High School,0,Indeed,9894550,Good,No,1974-01-01,2024-10-05,Other,4.0,4,10.0
00-93154172,Yunita,Agustina,Female,Sumatera Utara,Binjai,2023-08-28,Operations,Inventory Specialist,High School,20,Job Fair,8312217,Needs Improvement,No,1981-09-22,2024-02-24,Other,1.0,8,2.0
00-50851122,Prabawa,Dongoran,Male,DKI Jakarta,Jakarta Pusat,2024-03-15,Operations,Operations Analyst,Bachelor,0,Other,19007256,Satisfactory,No,1977-06-06,2024-09-11,Health Reasons,0.0,3,9.0
00-41514326,Kunthara,Haryanto,Male,Banten,Cilegon,2023-12-04,Sales,Sales Consultant,Master,0,Company Website,20772881,Satisfactory,No,1973-06-20,2024-06-01,Layoff,1.0,12,6.0
00-82503409,Alambana,Sihotang,Male,Sulawesi Selatan,Pare-Pare,2019-08-10,Customer Service,Help Desk Technician,High School,17,Job Fair,4827743,Good,No,1998-05-28,2024-09-06,Resignation,5.0,8,9.0
00-30739712,Halima,Lailasari,Female,DKI Jakarta,Jakarta Pusat,2023-04-24,IT,Software Developer,Bachelor,0,Company Website,19164419,Satisfactory,Yes,1980-08-25,2024-07-02,Layoff,1.0,4,7.0
00-59731689,Zaenab,Halimah,Female,Bali,Kuta,2017-06-17,Operations,Inventory Specialist,High School,0,Other,8102964,Needs Improvement,No,1978-09-08,2024-01-09,Other,7.0,6,1.0
00-83076970,Tina,Purwanti,Female,Jawa Tengah,Surakarta,2023-07-05,Marketing,Content Creator,Bachelor,5,Other,6910885,Good,No,1983-08-19,2024-01-01,Layoff,1.0,7,1.0
00-54762841,Liman,Rajasa,Male,DKI Jakarta,Jakarta Barat,2017-09-29,Operations,Inventory Specialist,High School,15,Jobstreet,8446836,Good,No,1971-11-21,2024-06-16,Other,7.0,9,6.0
00-47215199,Ade,Megantara,Male,Banten,Serang,2023-09-22,IT,Software Developer,Bachelor,0,Indeed,33898969,Good,No,1983-10-11,2024-03-20,Layoff,1.0,9,3.0
00-98725654,Maryanto,Prasasta,Male,Sulawesi Selatan,Makassar,2023-11-11,Customer Service,Customer Service Manager,Master,0,LinkedIn,22865183,Satisfactory,No,1989-12-25,2024-05-09,Other,1.0,11,5.0
00-18530615,Halima,Sudiati,Female,Jawa Timur,Malang,2019-03-27,Operations,Logistics Coordinator,Bachelor,6,LinkedIn,4665381,Good,Yes,1988-01-18,2024-11-11,Layoff,5.0,3,11.0
00-74287863,Salimah,Lestari,Female,Jawa Timur,Blitar,2023-06-30,Sales,Sales Representative,Bachelor,15,LinkedIn,6378367,Good,No,1966-06-04,2024-06-28,Health Reasons,1.0,6,6.0
00-24490391,Argono,Haryanto,Male,Yogyakarta,Sleman,2020-07-02,Sales,Sales Representative,Bachelor,6,Indeed,8201216,Satisfactory,Yes,1992-04-23,2024-02-02,Layoff,4.0,7,2.0
00-81210133,Cakrabirawa,Putra,Male,Jawa Tengah,Magelang,2017-11-14,Operations,Logistics Coordinator,Bachelor,0,Job Fair,12548664,Good,Yes,1991-07-15,2024-07-03,Layoff,7.0,11,7.0
00-16904975,Raden,Dabukke,Male,Banten,Tangerang,2024-04-17,Customer Service,Customer Service Representative,High School,18,LinkedIn,8704851,Good,Yes,1994-03-30,2024-10-14,Other,0.0,4,10.0
00-57197152,Kasiyah,Usamah,Female,Sulawesi Selatan,Pare-Pare,2016-02-23,Finance,Accountant,Bachelor,13,Company Website,18919398,Satisfactory,No,1987-10-31,2024-04-21,Layoff,8.0,2,4.0
00-51471222,Mulyanto,Ardianto,Male,Bali,Ubud,2023-11-25,HR,Recruiter,Bachelor,12,Jobstreet,18498290,Good,No,2003-01-18,2024-05-23,Resignation,1.0,11,5.0
00-34347841,Jaka,Megantara,Male,Jawa Timur,Surabaya,2023-09-04,IT,System Administrator,Master,1,Other,18093928,Satisfactory,No,1998-08-26,2024-03-02,Other,1.0,9,3.0
00-60491958,Yono,Prabowo,Male,DKI Jakarta,Jakarta Barat,2019-09-09,Sales,Sales Representative,Bachelor,0,Job Fair,7496918,Satisfactory,Yes,2004-01-30,2024-10-25,Resignation,5.0,9,10.0
00-86181117,Harjo,Permadi,Male,Bali,Denpasar,2020-02-08,Marketing,SEO Specialist,Bachelor,0,Jobstreet,22376934,Satisfactory,Yes,2003-08-07,2024-11-23,Resignation,4.0,2,11.0
00-67702031,Panca,Prayoga,Male,Sulawesi Selatan,Makassar,2016-10-30,Operations,Inventory Specialist,Bachelor,0,LinkedIn,10427343,Excellent,No,1988-11-21,2024-07-11,Layoff,8.0,10,7.0
00-57535513,Maida,Astuti,Female,Sulawesi Selatan,Makassar,2016-07-30,Customer Service,Customer Service Representative,High School,0,Indeed,5925895,Satisfactory,Yes,1976-01-30,2024-10-07,Layoff,8.0,7,10.0
00-68548403,Uchita,Kuswandari,Female,Yogyakarta,Sleman,2015-02-02,Operations,Operations Analyst,Master,0,Indeed,15645246,Good,Yes,1987-05-07,2024-06-14,Other,9.0,2,6.0
00-12799319,Puput,Riyanti,Female,Sulawesi Selatan,Makassar,2023-07-13,HR,Recruiter,Bachelor,8,Other,20694616,Good,Yes,1991-01-03,2024-01-09,Health Reasons,1.0,7,1.0
00-96629889,Kawaca,Halim,Male,Jawa Timur,Malang,2023-06-15,Marketing,Content Creator,High School,0,LinkedIn,10211389,Satisfactory,No,1988-03-19,2024-10-08,Health Reasons,1.0,6,10.0
00-30517835,Lanang,Nainggolan,Male,Jawa Timur,Malang,2022-10-27,Customer Service,Support Specialist,High School,17,LinkedIn,4493231,Satisfactory,Yes,1984-09-17,2024-09-03,Misconduct,2.0,10,9.0
00-33776150,Wage,Nashiruddin,Male,Bali,Kuta,2024-02-09,Customer Service,Support Specialist,High School,0,Jobstreet,7449671,Satisfactory,Yes,1986-03-07,2024-08-07,Health Reasons,0.0,2,8.0
00-72270726,Gina,Yulianti,Female,Sulawesi Selatan,Gowa,2022-01-10,Marketing,Marketing Coordinator,Bachelor,14,LinkedIn,13114717,Excellent,No,1989-04-05,2024-04-02,Health Reasons,2.0,1,4.0
00-17635653,Gadang,Prayoga,Male,Bali,Ubud,2018-02-12,Customer Service,Support Specialist,High School,0,Job Fair,6312895,Satisfactory,No,1992-08-13,2024-06-02,Health Reasons,6.0,2,6.0
00-84399083,Paiman,Tampubolon,Male,Bali,Ubud,2023-12-12,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5856030,Good,No,1985-06-27,2024-06-09,Health Reasons,1.0,12,6.0
00-70362235,Hari,Sihombing,Male,Jawa Tengah,Surakarta,2023-09-28,Finance,Financial Analyst,Master,0,LinkedIn,23211371,Good,Yes,1970-02-11,2024-03-26,Other,1.0,9,3.0
00-30248230,Zahra,Wahyuni,Female,Jawa Barat,Bogor,2023-08-13,Customer Service,Help Desk Technician,Bachelor,0,Jobstreet,4334351,Good,No,1998-02-21,2024-02-09,Resignation,1.0,8,2.0
00-56095437,Wakiman,Mandala,Male,Banten,Cilegon,2024-01-12,Operations,Inventory Specialist,Bachelor,15,Jobstreet,8564557,Satisfactory,No,1992-01-20,2024-07-10,Layoff,0.0,1,7.0
00-96721710,Kartika,Nurdiyanti,Female,Lampung,Bandar Lampung,2017-06-11,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5129845,Satisfactory,No,1988-12-27,2024-07-12,Other,7.0,6,7.0
00-68754920,Wasis,Lazuardi,Male,Banten,Cilegon,2023-11-09,Sales,Sales Manager,PhD,0,LinkedIn,24199774,Satisfactory,No,1995-07-10,2024-05-07,Other,1.0,11,5.0
00-54915875,Dewi,Yuniar,Female,Sulawesi Selatan,Pare-Pare,2016-02-03,Sales,Sales Consultant,Master,0,Company Website,24722770,Satisfactory,Yes,1989-10-28,2024-09-03,Layoff,8.0,2,9.0
00-98122539,Ayu,Farida,Female,DKI Jakarta,Jakarta Pusat,2023-10-15,Operations,Operations Analyst,Master,2,LinkedIn,15717996,Satisfactory,Yes,2000-04-16,2024-04-12,Resignation,1.0,10,4.0
00-28982195,Farhunnisa,Hassanah,Female,Sulawesi Selatan,Gowa,2023-10-30,Operations,Operations Analyst,Bachelor,0,LinkedIn,14179970,Good,No,1990-07-24,2024-04-27,Layoff,1.0,10,4.0
00-34194479,Zelaya,Aryani,Female,Jawa Timur,Surabaya,2024-02-18,IT,Software Developer,Master,0,LinkedIn,24089052,Excellent,No,1983-12-17,2024-08-16,Health Reasons,0.0,2,8.0
00-93851247,Karen,Winarsih,Female,Sumatera Utara,Medan,2023-08-05,Customer Service,Support Specialist,Bachelor,0,LinkedIn,4623770,Needs Improvement,No,1984-12-20,2024-02-01,Performance Issues,1.0,8,2.0
00-41880763,Luwes,Damanik,Male,Jawa Barat,Bekasi,2023-09-23,Customer Service,Support Specialist,Bachelor,0,LinkedIn,5109174,Satisfactory,No,2003-09-06,2024-03-21,Resignation,1.0,9,3.0
00-86560394,Jatmiko,Pangestu,Male,Jawa Timur,Surabaya,2024-06-04,Customer Service,Help Desk Technician,High School,0,Other,4663533,Good,No,1979-09-29,2024-12-01,Layoff,0.0,6,12.0
00-47818761,Balangga,Prasasta,Male,Jawa Barat,Tasikmalaya,2023-09-17,IT,IT Support Specialist,Bachelor,8,Jobstreet,4813892,Good,No,2004-07-19,2024-03-15,Resignation,1.0,9,3.0
00-66191704,Ibun,Firgantoro,Male,Banten,Cilegon,2023-11-25,Operations,Inventory Specialist,High School,0,Company Website,5811721,Satisfactory,No,1985-10-15,2024-05-23,Other,1.0,11,5.0
00-23769360,Restu,Permata,Female,Bali,Ubud,2022-05-19,Finance,Accountant,Bachelor,0,Other,18941697,Excellent,Yes,1993-06-02,2024-05-26,Layoff,2.0,5,5.0
