"employee_id","first_name","last_name","gender","province","city","hiredate","department","job_title","education_level","absences","recruitment_source","salary","performance_rating","overtime","birthdate","termdate","termination_reason"
"00-16150444",Kezia,Hariyah,Female,Bali,Kuta,2022-05-20,Sales,Sales Consultant,Bachelor,12,LinkedIn,21620702,Excellent,Yes,1988-02-28,2022-11-16,Health Reasons
"00-41244663",Slamet,Natsir,Male,Jawa Barat,Bandung,2023-08-23,Customer Service,Support Specialist,High School,0,Jobstreet,5697150,Satisfactory,Yes,1970-03-10,2024-09-13,Other
"00-70855700",Hani,Fujiati,Female,Jawa Barat,Bandung,2021-10-11,Customer Service,Help Desk Technician,High School,0,Other,4529501,Good,No,1998-08-19,2022-06-10,Resignation
"00-59684848",Michelle,Zulaika,Female,Jakarta,Jakarta Timur,2018-02-18,Marketing,SEO Specialist,Bachelor,0,LinkedIn,21677484,Good,No,1989-06-18,2024-09-24,Layoff
"00-96977837",Keisha,Hasanah,Female,Jawa Barat,Bogor,2016-08-02,Sales,Sales Specialist,Bachelor,9,Other,11694405,Satisfactory,No,1992-06-09,2024-07-10,Health Reasons
"00-81691040",Ida,Riyanti,Female,Banten,Cilegon,2022-08-13,Marketing,SEO Specialist,Bachelor,9,Indeed,10566936,Good,Yes,2001-07-12,2023-02-09,Resignation
"00-60929647",Dadi,Thamrin,Male,Jawa Barat,Bekasi,2017-01-28,Sales,Sales Representative,Bachelor,0,Jobstreet,6898353,Needs Improvement,Yes,1982-02-16,2024-09-05,Performance Issues
"00-84752529",Arsipatra,Sitompul,Male,Jawa Barat,Bekasi,2017-03-30,Operations,Logistics Coordinator,Bachelor,0,Indeed,17775763,Satisfactory,No,1967-08-05,2022-11-28,Other
"00-17507864",Vera,Purwanti,Female,Jawa Barat,Bandung,2017-01-31,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,10353262,Good,No,1999-04-01,2020-03-27,Resignation
"00-52339391",Sabar,Latupono,Male,Jawa Barat,Bekasi,2019-12-03,IT,IT Support Specialist,High School,18,Company Website,8288153,Good,Yes,2003-08-06,2023-09-26,Resignation
"00-86125617",Cinthia,Suartini,Female,Sulawesi Selatan,Gowa,2023-04-18,Finance,Financial Analyst,PhD,0,Jobstreet,20397623,Satisfactory,No,1990-08-23,2023-10-15,Layoff
"00-97971488",Jaeman,Simanjuntak,Male,Jawa Barat,Bogor,2020-11-19,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,13870199,Good,No,1993-12-01,2021-05-18,Layoff
"00-29175900",Galih,Hutapea,Male,Jakarta,Jakarta Pusat,2017-05-24,Finance,Financial Analyst,PhD,0,Jobstreet,17265487,Satisfactory,No,1961-05-29,2021-09-05,Other
"00-85345555",Garang,Jailani,Male,Jawa Barat,Bandung,2020-09-17,Customer Service,Help Desk Technician,Bachelor,0,Jobstreet,7260200,Satisfactory,Yes,1985-12-19,2022-07-14,Layoff
"00-67503414",Hasna,Hartati,Female,Jawa Barat,Bekasi,2023-08-25,HR,HR Coordinator,Master,0,LinkedIn,12471847,Good,No,1998-01-17,2024-02-21,Resignation
"00-76238574",Titi,Nasyiah,Female,Jawa Barat,Bandung,2016-03-04,HR,HR Manager,PhD,0,LinkedIn,36628402,Good,Yes,1960-07-16,2019-02-03,Layoff
"00-24716857",Jail,Nainggolan,Male,Jawa Barat,Bogor,2017-04-15,Sales,Sales Representative,Bachelor,0,Jobstreet,13175503,Needs Improvement,No,1980-11-02,2020-06-24,Performance Issues
"00-66661351",Suci,Novitasari,Female,Jawa Barat,Bekasi,2020-09-22,Operations,Inventory Specialist,Bachelor,0,Job Fair,8530263,Good,No,1965-06-16,2021-03-21,Health Reasons
"00-89978790",Jane,Handayani,Female,Banten,Serang,2024-03-29,Marketing,Content Creator,High School,0,Jobstreet,6628577,Good,No,1978-04-05,2024-09-25,Layoff
"00-84252722",Rizki,Budiyanto,Male,Jawa Barat,Bogor,2023-11-09,Operations,Inventory Specialist,High School,0,Indeed,5498591,Good,No,1979-11-19,2024-05-07,Layoff
"00-25374874",Iriana,Susanti,Female,Sumatera Utara,Medan,2022-04-14,Customer Service,Customer Service Representative,Bachelor,10,Jobstreet,9423940,Good,Yes,1991-12-06,2022-10-11,Health Reasons
"00-45812670",Bella,Nurdiyanti,Female,Jawa Barat,Bekasi,2022-12-21,Customer Service,Help Desk Technician,High School,0,LinkedIn,5329410,Good,No,1975-12-16,2023-06-19,Layoff
"00-49392920",Qori,Pertiwi,Female,Jawa Barat,Bekasi,2019-03-24,Customer Service,Help Desk Technician,Bachelor,11,LinkedIn,4343094,Needs Improvement,No,1989-11-29,2023-05-23,Performance Issues
"00-45351479",Safina,Wijayanti,Female,Sumatera Utara,Tebing Tinggi,2024-06-02,Operations,Logistics Coordinator,Bachelor,0,LinkedIn,12124354,Satisfactory,No,1974-05-23,2024-11-29,Other
"00-24282218",Syahrini,Yuniar,Female,Jawa Barat,Bekasi,2023-02-25,IT,System Administrator,Master,0,Job Fair,21028868,Good,No,1971-04-09,2023-08-24,Layoff
"00-95758349",Eman,Hidayat,Male,Jawa Barat,Bandung,2020-04-05,Customer Service,Support Specialist,Bachelor,0,Other,7139374,Satisfactory,No,1979-11-08,2024-11-28,Other
"00-60185867",Panca,Setiawan,Male,Jawa Barat,Bandung,2022-07-29,IT,Software Developer,Bachelor,0,LinkedIn,19902208,Satisfactory,No,1998-08-04,2023-01-25,Resignation
"00-75579548",Restu,Susanti,Female,Jawa Barat,Bandung,2015-05-21,Marketing,Content Creator,High School,0,Other,14481747,Needs Improvement,No,1978-04-09,2021-09-13,Performance Issues
"00-51273847",Gawati,Laksmiwati,Female,Jawa Timur,Blitar,2017-07-17,Finance,Financial Analyst,Bachelor,15,Other,22460268,Satisfactory,No,1971-01-25,2024-08-23,Layoff
"00-20570592",Nilam,Haryanti,Female,Jawa Barat,Bekasi,2016-10-20,Finance,Accountant,Bachelor,0,Indeed,16687187,Satisfactory,No,2001-12-30,2022-10-19,Resignation
"00-19289546",Alika,Halimah,Female,Jawa Barat,Bogor,2024-02-29,Operations,Logistics Coordinator,Bachelor,11,Company Website,4764685,Needs Improvement,No,1979-12-20,2024-08-27,Performance Issues
"00-26879290",Sari,Lailasari,Female,Jawa Barat,Bogor,2016-11-03,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,12970570,Good,No,1984-05-03,2017-05-02,Health Reasons
"00-32162965",Sabrina,Utami,Female,Jakarta,Jakarta Barat,2017-08-20,Customer Service,Customer Service Representative,High School,0,Company Website,8933112,Satisfactory,No,1980-10-18,2020-09-25,Other
"00-38427073",Bella,Sudiati,Female,Jawa Barat,Bandung,2024-05-28,Operations,Logistics Coordinator,Bachelor,0,Other,6482888,Satisfactory,Yes,1990-10-07,2024-11-24,Layoff
"00-36998038",Lembah,Pradipta,Male,Jawa Barat,Bekasi,2022-07-25,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,11979983,Good,No,1975-02-16,2023-01-21,Layoff
"00-97225156",Hafshah,Andriani,Female,Sulawesi Selatan,Gowa,2018-09-22,Customer Service,Support Specialist,High School,0,Company Website,4887103,Satisfactory,Yes,1968-09-06,2023-07-06,Other
"00-26240908",Tantri,Halimah,Female,Jawa Barat,Bogor,2017-09-22,Operations,Inventory Specialist,Bachelor,0,LinkedIn,6387460,Good,No,1991-01-09,2021-12-07,Other
"00-12823170",Paulin,Pudjiastuti,Female,Jawa Barat,Bogor,2020-10-25,Operations,Operations Analyst,Bachelor,0,Company Website,18002278,Satisfactory,No,1999-02-15,2024-01-17,Other
"00-39557077",Syahrini,Padmasari,Female,Jakarta,Jakarta Barat,2015-02-13,Marketing,Marketing Coordinator,Bachelor,15,Job Fair,5976519,Good,No,1987-06-19,2021-07-24,Other
"00-17901903",Ida,Usamah,Female,Jawa Barat,Bandung,2017-03-03,Customer Service,Customer Service Representative,Bachelor,0,LinkedIn,10045164,Excellent,Yes,1978-11-30,2021-11-17,Layoff
"00-54349361",Mutia,Agustina,Female,Sulawesi Selatan,Gowa,2016-10-07,Operations,Operations Analyst,Master,1,Job Fair,14031651,Good,No,2003-12-06,2024-02-20,Resignation
"00-99788677",Tantri,Palastri,Female,Jawa Barat,Bogor,2019-07-14,HR,Recruiter,Bachelor,11,Jobstreet,14548957,Needs Improvement,Yes,1987-08-17,2020-01-10,Performance Issues
"00-86644106",Vanesa,Mardhiyah,Female,Jawa Barat,Bekasi,2020-07-16,Finance,Financial Analyst,Bachelor,0,Indeed,23119148,Satisfactory,No,2001-08-29,2021-01-12,Resignation
"00-73481353",Cici,Pratiwi,Female,Jawa Barat,Bekasi,2023-11-23,Finance,Financial Analyst,Master,8,Job Fair,26882863,Satisfactory,Yes,2000-09-11,2024-05-21,Resignation
"00-23009833",Manah,Ramadan,Male,Jakarta,Jakarta Barat,2022-08-25,Sales,Sales Representative,Bachelor,11,LinkedIn,12535684,Good,Yes,1973-04-13,2023-02-21,Health Reasons
"00-65177213",Dalimin,Hutagalung,Male,Banten,Cilegon,2019-05-26,Operations,Logistics Coordinator,Bachelor,0,Company Website,13083605,Good,No,1964-10-12,2023-10-11,Layoff
"00-64038913",Xanana,Wibisono,Male,Sulawesi Selatan,Gowa,2022-12-25,Marketing,SEO Specialist,Bachelor,0,Job Fair,17685669,Excellent,No,1989-10-24,2023-06-23,Layoff
"00-35714784",Paris,Agustina,Female,Banten,Tangerang,2017-08-21,Sales,Sales Specialist,Master,7,Job Fair,18292740,Good,No,1991-02-08,2022-02-10,Other
"00-66623995",Gaman,Prasasta,Male,Sumatera Utara,Medan,2017-01-08,Finance,Financial Analyst,Bachelor,0,Job Fair,20636295,Good,No,1994-03-16,2021-01-29,Layoff
"00-20117988",Balidin,Najmudin,Male,Jawa Barat,Bekasi,2019-12-08,Marketing,Marketing Coordinator,Bachelor,0,Indeed,12051198,Good,Yes,1993-11-13,2020-06-05,Layoff
"00-16789850",Radika,Waskita,Male,Jawa Barat,Bandung,2022-04-30,Finance,Accountant,Bachelor,0,Jobstreet,17267478,Excellent,No,1997-05-27,2023-10-18,Resignation
"00-11980765",Halima,Handayani,Female,Jawa Barat,Bogor,2024-04-03,Marketing,Content Creator,Bachelor,0,LinkedIn,11679811,Good,No,1983-12-27,2024-09-30,Health Reasons
"00-64547971",Qori,Hasanah,Female,Jawa Barat,Bogor,2019-02-03,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,4618837,Satisfactory,No,1969-11-15,2020-05-06,Other
"00-63826716",Opan,Prasasta,Male,Sumatera Utara,Tebing Tinggi,2023-11-13,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5205989,Good,No,1993-05-06,2024-05-11,Layoff
"00-71070189",Pranata,Haryanto,Male,Jawa Barat,Bandung,2017-02-19,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5129997,Satisfactory,No,1980-04-05,2021-04-04,Layoff
"00-84593961",Maryanto,Prakasa,Male,Jakarta,Jakarta Barat,2022-08-02,IT,Software Developer,Master,0,Jobstreet,17751227,Needs Improvement,No,1989-01-08,2023-01-29,Performance Issues
"00-35487660",Eli,Palastri,Female,Jawa Barat,Bogor,2017-07-24,Operations,Inventory Specialist,High School,12,Job Fair,6673904,Excellent,Yes,1975-02-09,2018-01-20,Other
"00-82772208",Teddy,Sihombing,Male,Banten,Cilegon,2016-06-13,Operations,Inventory Specialist,Bachelor,0,Jobstreet,6974917,Good,No,1978-07-31,2018-05-06,Layoff
"00-16729990",Gabriella,Mulyani,Female,Jawa Barat,Bekasi,2020-10-03,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,9869639,Satisfactory,Yes,1984-02-14,2021-04-01,Layoff
"00-81286543",Ira,Susanti,Female,Jawa Barat,Bekasi,2017-09-18,IT,IT Support Specialist,High School,0,Other,8062958,Satisfactory,No,2000-07-24,2020-12-19,Other
"00-34941004",Martaka,Nashiruddin,Male,Sumatera Utara,Binjai,2016-06-19,Finance,Accountant,Bachelor,14,Jobstreet,17852341,Good,Yes,1970-10-18,2023-08-22,Other
"00-41568532",Padma,Uyainah,Female,Banten,Tangerang,2019-02-16,IT,Software Developer,Master,0,LinkedIn,17446734,Good,No,1997-07-26,2022-04-01,Resignation
"00-87701200",Dirja,Kusumo,Male,Jakarta,Jakarta Pusat,2020-01-25,IT,Software Developer,Master,0,Other,25696312,Good,No,1987-09-05,2020-07-23,Health Reasons
"00-66267415",Gandi,Anggriawan,Male,Jawa Barat,Bandung,2022-08-17,Customer Service,Help Desk Technician,High School,0,LinkedIn,4695489,Needs Improvement,No,2000-05-03,2023-02-13,Other
"00-52169044",Darmaji,Adriansyah,Male,Jawa Barat,Bogor,2017-01-28,Sales,Sales Representative,Bachelor,0,Job Fair,10650294,Good,Yes,1960-09-12,2018-10-10,Layoff
"00-96637649",Nugraha,Sihotang,Male,Jawa Barat,Bogor,2017-01-23,HR,HR Assistant,Bachelor,0,Other,15059372,Needs Improvement,Yes,1985-11-27,2022-05-23,Performance Issues
"00-19736572",Ghaliyati,Hassanah,Female,Jawa Barat,Bogor,2015-12-18,HR,Recruiter,Bachelor,8,Job Fair,20091517,Needs Improvement,No,1986-08-27,2016-06-15,Performance Issues
"00-23419256",Anggabaya,Marbun,Male,Jawa Barat,Bandung,2016-01-28,Operations,Inventory Specialist,Bachelor,0,Jobstreet,8636283,Satisfactory,No,1992-06-24,2017-04-08,Layoff
"00-45594597",Kamidin,Lazuardi,Male,Jawa Barat,Bekasi,2017-04-19,Finance,Accounts Payable Specialist,Bachelor,0,Job Fair,16847218,Satisfactory,Yes,1972-09-03,2020-02-02,Other
"00-42787299",Mulyono,Prasasta,Male,Jawa Barat,Bogor,2018-03-25,Sales,Sales Consultant,Master,0,LinkedIn,22051314,Good,No,1997-04-18,2021-03-09,Resignation
"00-82909480",Puput,Kuswandari,Female,Jawa Barat,Bandung,2022-10-08,IT,Software Developer,Bachelor,0,Job Fair,17585227,Excellent,Yes,1985-05-22,2024-09-24,Layoff
"00-97775215",Warji,Suwarno,Male,Jawa Barat,Bekasi,2020-08-11,Sales,Sales Representative,Bachelor,0,Company Website,5004193,Good,Yes,2000-06-16,2021-06-05,Resignation
"00-84437458",Nabila,Nasyiah,Female,Jawa Barat,Bogor,2017-11-01,Customer Service,Support Specialist,Bachelor,0,Job Fair,4729805,Satisfactory,Yes,1985-11-09,2023-02-01,Other
"00-28024248",Nabila,Safitri,Female,Jawa Barat,Bekasi,2017-03-15,Customer Service,Support Specialist,High School,10,Indeed,6479536,Good,Yes,1965-07-01,2021-04-17,Health Reasons
"00-84252420",Cinta,Hariyah,Female,Sulawesi Selatan,Gowa,2017-09-13,Operations,Inventory Specialist,Bachelor,0,Job Fair,9420647,Excellent,No,1982-10-19,2018-03-12,Health Reasons
"00-38270233",Mala,Rahayu,Female,Bali,Ubud,2022-06-14,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,12344439,Satisfactory,No,1973-09-24,2022-12-11,Layoff
"00-95125977",Hendra,Pradipta,Male,Jawa Barat,Bekasi,2023-12-02,Sales,Sales Representative,Bachelor,0,Company Website,7303297,Good,Yes,1988-03-18,2024-05-30,Health Reasons
"00-43704923",Omar,Dongoran,Male,Jawa Barat,Bekasi,2023-09-19,IT,Software Developer,Bachelor,0,Company Website,20458422,Good,No,1994-08-06,2024-03-17,Other
"00-95132217",Martani,Sinaga,Male,Jawa Barat,Bandung,2019-02-08,IT,Software Developer,Master,0,Jobstreet,28663157,Good,No,1968-03-25,2021-09-02,Health Reasons
"00-10475894",Almira,Susanti,Female,Sulawesi Selatan,Gowa,2018-10-10,Operations,Operations Analyst,Bachelor,0,Jobstreet,15148350,Satisfactory,No,1986-08-22,2019-08-26,Other
"00-45159040",Gandi,Wacana,Male,Jawa Barat,Bekasi,2017-12-01,Operations,Operations Analyst,Master,0,Other,15236764,Satisfactory,No,1977-07-20,2021-02-20,Other
"00-67403166",Balangga,Maheswara,Male,Jawa Barat,Bogor,2020-03-15,Sales,Sales Representative,Bachelor,0,Indeed,9194793,Satisfactory,No,2003-11-12,2024-10-01,Resignation
"00-30005727",Dadap,Santoso,Male,Jawa Barat,Bandung,2020-06-23,Sales,Sales Specialist,Master,0,Job Fair,17791113,Satisfactory,No,1981-11-10,2024-01-27,Layoff
"00-84158663",Dina,Utami,Female,Jawa Barat,Bogor,2017-03-13,Marketing,Marketing Coordinator,Bachelor,0,LinkedIn,12680072,Good,No,1992-07-29,2022-06-13,Health Reasons
"00-51373735",Estiawan,Pradipta,Male,Jakarta,Jakarta Barat,2018-04-08,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,10619994,Good,Yes,1968-05-24,2019-11-21,Other
"00-38195995",Citra,Usada,Female,Jawa Barat,Bogor,2022-11-10,Operations,Inventory Specialist,Bachelor,0,LinkedIn,8749453,Good,No,1962-05-24,2023-05-09,Layoff
"00-57469942",Zelda,Hariyah,Female,Jawa Barat,Bogor,2023-01-20,Operations,Inventory Specialist,Bachelor,0,Jobstreet,4473074,Satisfactory,No,1978-07-30,2023-07-19,Layoff
"00-30743797",Sadina,Andriani,Female,Jawa Barat,Bandung,2024-02-06,Finance,Accounts Payable Specialist,Bachelor,14,Indeed,4685675,Satisfactory,Yes,1991-08-29,2024-08-04,Layoff
"00-13326769",Gilda,Mandasari,Female,Sulawesi Selatan,Makassar,2017-06-07,Sales,Sales Consultant,Bachelor,0,Jobstreet,18460773,Good,Yes,1979-08-15,2023-08-15,Health Reasons
"00-65259205",Jayeng,Permadi,Male,Jawa Barat,Bekasi,2023-03-25,Customer Service,Customer Service Representative,Bachelor,0,Jobstreet,9594786,Excellent,No,1992-05-05,2024-02-12,Other
"00-43308443",Saka,Pangestu,Male,Jawa Barat,Bandung,2017-12-17,Customer Service,Support Specialist,Bachelor,0,LinkedIn,8001075,Good,No,1988-10-16,2021-09-01,Health Reasons
"00-61343880",Asmuni,Hutasoit,Male,Jawa Barat,Bogor,2023-05-28,Sales,Sales Specialist,Master,1,LinkedIn,18627773,Good,No,1981-04-15,2023-11-24,Layoff
"00-36786211",Ade,Sudiati,Female,Sumatera Utara,Medan,2023-04-13,Customer Service,Help Desk Technician,High School,0,Jobstreet,4308834,Satisfactory,No,1997-11-09,2023-10-10,Resignation
"00-50962024",Violet,Yuniar,Female,Jawa Barat,Bekasi,2023-04-21,Customer Service,Customer Service Representative,Bachelor,0,Job Fair,6900673,Satisfactory,Yes,2002-12-03,2023-10-18,Other
"00-13176186",Lintang,Wahyuni,Female,Jawa Barat,Bekasi,2022-03-02,Sales,Sales Specialist,Master,0,Jobstreet,15086080,Excellent,Yes,1984-05-31,2022-08-29,Other
"00-47393469",Dadap,Maulana,Male,Jawa Barat,Bekasi,2023-03-26,Sales,Sales Representative,Bachelor,0,LinkedIn,11553544,Good,No,1963-11-14,2024-04-20,Layoff
"00-96098221",Amelia,Handayani,Female,Sumatera Utara,Medan,2020-10-17,Sales,Sales Consultant,Bachelor,0,Other,24171445,Good,No,1992-09-02,2021-11-03,Other
"00-81969657",Galar,Dabukke,Male,Jawa Barat,Bekasi,2018-01-20,Operations,Logistics Coordinator,Bachelor,5,LinkedIn,16409799,Needs Improvement,No,1992-12-18,2020-09-06,Other
"00-45059710",Lanang,Permadi,Male,Sumatera Utara,Binjai,2017-07-15,Operations,Inventory Specialist,High School,0,Other,6301108,Good,No,2001-09-18,2018-01-11,Resignation
"00-24549543",Vega,Saptono,Male,Jawa Barat,Bandung,2020-03-02,IT,Software Developer,Master,9,LinkedIn,27630392,Needs Improvement,No,1973-02-17,2022-10-19,Performance Issues
"00-52101056",Asmianto,Rajasa,Male,Jawa Barat,Bogor,2019-02-01,Sales,Sales Representative,Bachelor,7,LinkedIn,13505904,Good,No,1961-11-29,2019-07-31,Layoff
"00-61700055",Zizi,Mayasari,Female,Jawa Timur,Blitar,2023-01-27,HR,HR Coordinator,Master,1,Company Website,13757657,Good,No,1982-07-09,2023-07-26,Layoff
"00-15957459",Rina,Hassanah,Female,Jawa Barat,Bogor,2022-09-20,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,6567905,Satisfactory,Yes,1984-01-21,2024-08-08,Layoff
"00-82269803",Setya,Lazuardi,Male,Jawa Barat,Bandung,2022-06-06,Customer Service,Customer Service Representative,High School,0,Other,9439193,Satisfactory,Yes,1994-07-02,2022-12-03,Other
"00-36445607",Banawa,Suryono,Male,Jawa Barat,Bekasi,2018-04-06,Finance,Financial Analyst,Master,0,Indeed,25780378,Good,No,1975-03-20,2023-08-15,Layoff
"00-54318698",Labuh,Salahudin,Male,Sumatera Utara,Medan,2021-01-16,IT,System Administrator,Bachelor,0,LinkedIn,17542366,Good,No,1974-07-22,2021-07-15,Health Reasons
"00-26726926",Raina,Hasanah,Female,Sumatera Utara,Tebing Tinggi,2022-06-12,Operations,Inventory Specialist,Bachelor,11,LinkedIn,6712960,Good,Yes,2003-04-14,2022-12-09,Resignation
"00-51511484",Sakura,Wulandari,Female,Jawa Barat,Bandung,2022-05-03,IT,Software Developer,Master,0,LinkedIn,17800305,Excellent,No,1984-04-10,2022-10-30,Health Reasons
"00-49682169",Hana,Maryati,Female,Jawa Barat,Bogor,2020-09-17,Marketing,Content Creator,Bachelor,0,Indeed,14285126,Good,No,1980-07-10,2023-11-22,Layoff
"00-99245317",Nasrullah,Manullang,Male,Jawa Barat,Bekasi,2024-04-02,Sales,Sales Representative,Bachelor,0,Other,11972470,Good,No,1984-09-02,2024-09-29,Layoff
"00-33357554",Eman,Napitupulu,Male,Sulawesi Selatan,Makassar,2021-02-20,Customer Service,Customer Service Representative,High School,0,Job Fair,5309927,Good,No,1973-11-07,2021-08-19,Other
"00-83542887",Mumpuni,Sinaga,Male,Jawa Barat,Bogor,2023-04-27,Operations,Inventory Specialist,High School,0,LinkedIn,7640543,Good,Yes,1970-11-28,2023-10-24,Other
"00-38210242",Jagapati,Manullang,Male,Jawa Barat,Bandung,2019-12-27,Operations,Inventory Specialist,High School,0,Other,8104551,Satisfactory,No,1990-06-08,2021-05-09,Other
"00-97873101",Umi,Hartati,Female,Jawa Barat,Bandung,2018-01-04,Customer Service,Help Desk Technician,High School,11,Indeed,4869506,Satisfactory,Yes,1980-02-18,2018-07-28,Layoff
"00-38682516",Michelle,Hariyah,Female,Jawa Barat,Bekasi,2020-01-29,Operations,Operations Manager,Bachelor,0,Company Website,23982875,Good,No,1983-02-06,2020-07-27,Layoff
"00-98429450",Kawaya,Kurniawan,Male,Jawa Barat,Bogor,2016-07-15,Finance,Financial Analyst,Bachelor,0,LinkedIn,27062489,Good,No,1990-08-14,2021-05-19,Layoff
"00-94951883",Eman,Haryanto,Male,Jawa Barat,Bogor,2021-12-29,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,9055548,Good,No,1976-11-22,2022-06-27,Health Reasons
"00-41523529",Kamaria,Hassanah,Female,Jawa Barat,Bandung,2022-12-08,Finance,Accounts Payable Specialist,Bachelor,5,Job Fair,12666571,Satisfactory,No,1985-11-16,2023-06-06,Health Reasons
"00-36726767",Dipa,Nashiruddin,Male,Jakarta,Jakarta Timur,2017-04-21,Marketing,Marketing Manager,PhD,0,Indeed,23065561,Good,No,1977-08-25,2022-04-01,Health Reasons
"00-73771720",Candrakanta,Prasetya,Male,Jawa Barat,Bandung,2021-11-20,Operations,Inventory Specialist,Bachelor,9,LinkedIn,7104411,Good,No,1989-12-17,2022-05-19,Layoff
"00-65625330",Kenari,Thamrin,Male,Jawa Barat,Bandung,2023-04-28,Customer Service,Help Desk Technician,Bachelor,0,LinkedIn,5199263,Good,No,2004-03-18,2023-10-25,Resignation
"00-61536717",Luwar,Waskita,Male,Jawa Barat,Bogor,2020-09-10,Marketing,Marketing Coordinator,Bachelor,0,Other,10957468,Excellent,No,1967-03-10,2021-03-09,Layoff
"00-98054615",Paris,Andriani,Female,Jakarta,Jakarta Pusat,2022-09-17,Marketing,SEO Specialist,Bachelor,0,Company Website,14351642,Good,Yes,2002-07-25,2023-03-16,Resignation
"00-67062156",Rendy,Saefullah,Male,Jawa Barat,Bandung,2017-04-27,Sales,Sales Manager,PhD,0,LinkedIn,37905709,Needs Improvement,No,1963-07-25,2017-10-24,Performance Issues
"00-72350830",Wardi,Sitompul,Male,Jakarta,Jakarta Pusat,2016-02-10,IT,Software Developer,Master,8,Company Website,29319079,Satisfactory,Yes,2001-10-02,2017-11-27,Resignation
"00-26288475",Diana,Palastri,Female,Jawa Tengah,Magelang,2019-02-14,Operations,Inventory Specialist,High School,13,Other,7922308,Satisfactory,No,1974-01-03,2021-06-03,Other
"00-69401199",Puspa,Lestari,Female,Jawa Barat,Bekasi,2021-04-16,Operations,Logistics Coordinator,Bachelor,0,Jobstreet,5803234,Good,No,1994-08-10,2021-10-13,Layoff
"00-67276174",Eko,Sihombing,Male,Jawa Barat,Bandung,2023-03-23,IT,System Administrator,Bachelor,15,Company Website,13743623,Satisfactory,Yes,1995-04-01,2023-09-19,Health Reasons
